,5
RoundNumber,6
Country,Monaco
Location,Monte Carlo
OfficialEventName,FORMULA 1 GRAND PRIX DE MONACO 2019
EventDate,2019-05-26 00:00:00
EventName,Monaco Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2019-05-23 11:00:00+02:00
Session1DateUtc,2019-05-23 09:00:00
Session2,Practice 2
Session2Date,2019-05-23 15:00:00+02:00
Session2DateUtc,2019-05-23 13:00:00
Session3,Practice 3
Session3Date,2019-05-25 12:00:00+02:00
Session3DateUtc,2019-05-25 10:00:00
Session4,Qualifying
Session4Date,2019-05-25 15:00:00+02:00
Session4DateUtc,2019-05-25 13:00:00
Session5,Race
Session5Date,2019-05-26 15:10:00+02:00
Session5DateUtc,2019-05-26 13:10:00
F1ApiSupport,True
