,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:39.641000,30.7,30.2,1001.0,False,50.4,116,4.0
1,0 days 00:01:39.646000,30.7,30.3,1000.9,False,50.7,102,2.1
2,0 days 00:02:39.647000,30.6,30.7,1001.0,False,51.3,93,2.9
3,0 days 00:03:39.646000,30.7,30.3,1000.9,False,50.5,145,4.3
4,0 days 00:04:39.646000,30.7,30.0,1000.9,False,50.3,122,2.9
5,0 days 00:05:39.659000,30.6,30.5,1001.0,False,50.3,181,2.9
6,0 days 00:06:39.642000,30.6,30.4,1000.9,False,51.9,144,2.0
7,0 days 00:07:39.651000,30.6,30.1,1000.9,False,50.3,144,3.4
8,0 days 00:08:39.642000,30.5,30.0,1000.8,False,50.7,87,2.9
9,0 days 00:09:39.643000,30.4,30.3,1000.9,False,50.8,167,2.1
10,0 days 00:10:39.655000,30.5,30.9,1000.8,False,51.8,168,1.4
11,0 days 00:11:39.647000,30.6,30.5,1000.8,False,51.4,149,1.9
12,0 days 00:12:39.656000,30.6,30.1,1000.8,False,51.6,163,3.3
13,0 days 00:13:39.662000,30.6,29.7,1000.8,False,50.7,156,2.2
14,0 days 00:14:39.663000,30.6,30.2,1000.9,False,51.4,169,0.8
15,0 days 00:15:39.663000,30.6,30.3,1000.9,False,51.7,88,1.6
16,0 days 00:16:39.660000,30.6,30.0,1000.9,False,50.2,99,4.5
17,0 days 00:17:39.661000,30.6,30.0,1000.8,False,51.4,132,1.1
18,0 days 00:18:39.665000,30.6,29.6,1000.8,False,50.8,129,2.5
19,0 days 00:19:39.666000,30.5,29.7,1000.8,False,50.8,92,4.1
20,0 days 00:20:39.672000,30.5,29.4,1000.7,False,49.8,102,3.7
21,0 days 00:21:39.662000,30.5,30.0,1000.7,False,51.4,85,1.0
22,0 days 00:22:39.665000,30.5,30.6,1000.7,False,52.1,118,1.5
23,0 days 00:23:39.667000,30.5,29.2,1000.7,False,49.7,84,5.2
24,0 days 00:24:39.656000,30.5,30.0,1000.7,False,50.7,128,4.1
25,0 days 00:25:39.659000,30.6,30.3,1000.7,False,50.6,155,4.0
26,0 days 00:26:39.662000,30.6,29.6,1000.7,False,50.7,135,2.6
27,0 days 00:27:39.671000,30.7,30.5,1000.7,False,51.4,141,2.9
28,0 days 00:28:39.669000,30.7,29.9,1000.7,False,51.3,106,3.4
29,0 days 00:29:39.671000,30.8,29.4,1000.7,False,51.9,96,1.1
30,0 days 00:30:39.672000,30.8,29.0,1000.7,False,51.2,156,3.3
31,0 days 00:31:39.669000,30.8,29.3,1000.7,False,51.1,140,2.7
32,0 days 00:32:39.675000,30.7,29.6,1000.7,False,51.3,128,1.2
33,0 days 00:33:39.688000,30.7,29.7,1000.7,False,50.6,123,3.6
34,0 days 00:34:39.665000,30.6,29.7,1000.7,False,50.0,115,3.5
35,0 days 00:35:39.684000,30.7,29.8,1000.7,False,50.7,160,4.6
36,0 days 00:36:39.669000,30.7,30.2,1000.6,False,50.5,101,3.3
37,0 days 00:37:39.675000,30.8,29.8,1000.6,False,49.7,146,2.8
38,0 days 00:38:39.695000,30.8,30.3,1000.7,False,51.6,148,2.7
39,0 days 00:39:39.695000,30.7,29.8,1000.6,False,51.0,194,1.1
40,0 days 00:40:39.699000,30.7,29.7,1000.5,False,50.4,157,3.0
41,0 days 00:41:39.739000,30.7,30.0,1000.7,False,50.7,152,3.8
42,0 days 00:42:39.715000,30.6,29.7,1000.6,False,49.8,121,4.0
43,0 days 00:43:39.710000,30.6,29.9,1000.7,False,49.9,137,3.6
44,0 days 00:44:39.728000,30.5,29.9,1000.6,False,50.9,151,3.6
45,0 days 00:45:39.729000,30.7,29.9,1000.6,False,50.9,129,2.8
46,0 days 00:46:39.736000,30.7,29.8,1000.6,False,51.1,151,2.6
47,0 days 00:47:39.736000,30.6,29.4,1000.6,False,51.7,159,3.2
48,0 days 00:48:39.734000,30.7,29.2,1000.6,False,51.6,150,2.0
49,0 days 00:49:39.740000,30.7,29.3,1000.7,False,50.7,156,3.2
50,0 days 00:50:39.754000,30.6,29.6,1000.6,False,51.1,162,3.0
51,0 days 00:51:39.776000,30.6,30.0,1000.7,False,51.5,118,3.5
52,0 days 00:52:39.779000,30.8,29.5,1000.7,False,51.4,117,3.9
53,0 days 00:53:39.777000,30.9,29.4,1000.7,False,52.3,108,1.9
54,0 days 00:54:39.776000,30.8,28.5,1000.7,False,51.7,105,1.7
55,0 days 00:55:39.804000,30.9,28.4,1000.6,False,50.6,89,3.9
56,0 days 00:56:39.824000,30.7,28.4,1000.6,False,49.9,91,4.3
57,0 days 00:57:39.824000,30.7,28.8,1000.7,False,51.4,99,1.5
58,0 days 00:58:39.822000,30.7,28.6,1000.6,False,51.1,112,2.6
59,0 days 00:59:39.825000,30.8,27.9,1000.6,False,51.1,84,2.7
60,0 days 01:00:39.817000,30.8,27.4,1000.5,False,50.2,96,4.3
61,0 days 01:01:39.823000,30.7,28.4,1000.5,False,50.8,75,3.3
62,0 days 01:02:39.843000,30.7,28.2,1000.7,False,51.1,65,2.3
63,0 days 01:03:39.863000,30.9,28.0,1000.7,False,50.3,119,2.2
64,0 days 01:04:39.866000,31.0,28.1,1000.6,False,50.0,156,2.7
65,0 days 01:05:39.870000,31.0,29.0,1000.5,False,51.5,62,2.8
66,0 days 01:06:39.883000,30.9,28.0,1000.5,False,50.4,101,3.1
67,0 days 01:07:39.880000,30.9,28.0,1000.5,False,49.7,120,5.1
68,0 days 01:08:39.894000,30.9,28.3,1000.7,False,49.0,143,3.9
69,0 days 01:09:39.872000,30.9,28.5,1000.6,False,49.4,147,2.3
70,0 days 01:10:39.885000,30.9,28.3,1000.5,False,50.7,127,1.4
71,0 days 01:11:39.885000,30.9,28.5,1000.5,False,50.5,91,2.3
72,0 days 01:12:39.901000,30.8,27.7,1000.4,False,50.7,62,1.4
73,0 days 01:13:39.917000,30.9,27.6,1000.5,False,51.2,360,0.4
74,0 days 01:14:39.930000,31.0,27.5,1000.5,False,50.7,139,2.5
75,0 days 01:15:39.935000,31.0,28.1,1000.4,False,51.0,79,1.2
76,0 days 01:16:39.932000,31.1,28.2,1000.5,False,51.2,170,2.5
77,0 days 01:17:39.934000,31.1,27.8,1000.4,False,50.2,165,3.1
78,0 days 01:18:39.938000,30.9,28.0,1000.3,False,49.9,110,3.1
79,0 days 01:19:39.954000,30.9,28.4,1000.2,False,50.5,126,1.5
80,0 days 01:20:39.968000,30.9,28.2,1000.4,False,49.8,105,3.8
81,0 days 01:21:39.968000,30.9,28.6,1000.2,False,49.6,122,2.4
82,0 days 01:22:39.977000,30.9,28.6,1000.3,False,49.3,110,3.6
83,0 days 01:23:39.967000,30.9,29.0,1000.4,False,50.1,96,1.7
84,0 days 01:24:39.976000,31.0,28.1,1000.3,False,50.6,76,3.0
85,0 days 01:25:39.975000,31.0,27.8,1000.3,False,49.6,112,3.4
86,0 days 01:26:39.990000,30.9,27.6,1000.4,False,49.8,88,2.0
87,0 days 01:27:39.974000,30.8,27.4,1000.3,False,50.6,86,2.0
88,0 days 01:28:39.968000,30.8,27.8,1000.3,False,49.7,85,3.7
89,0 days 01:29:39.979000,30.8,27.6,1000.5,False,49.0,119,3.6
90,0 days 01:30:39.980000,30.9,28.2,1000.5,False,51.0,144,0.7
91,0 days 01:31:39.984000,30.9,27.7,1000.5,False,49.8,88,3.0
92,0 days 01:32:39.982000,30.8,27.9,1000.4,False,48.9,113,3.2
93,0 days 01:33:39.993000,30.6,28.3,1000.4,False,48.7,81,4.9
94,0 days 01:34:39.971000,30.5,28.3,1000.5,False,50.3,142,3.0
95,0 days 01:35:39.983000,30.4,28.3,1000.4,False,49.2,128,2.7
96,0 days 01:36:39.991000,30.3,28.4,1000.4,False,49.0,98,2.6
97,0 days 01:37:39.976000,30.3,28.5,1000.4,False,48.5,101,4.2
98,0 days 01:38:39.985000,29.8,27.9,1000.5,False,49.2,87,3.6
99,0 days 01:39:39.993000,29.8,27.9,1000.5,False,49.2,87,3.6
100,0 days 01:40:39.980000,30.2,28.4,1000.4,False,49.9,66,3.5
101,0 days 01:41:39.981000,30.2,28.4,1000.4,False,49.9,66,3.5
102,0 days 01:42:39.991000,30.2,28.8,1000.5,False,49.5,101,3.8
103,0 days 01:43:39.995000,30.1,28.9,1000.4,False,49.6,110,3.7
104,0 days 01:44:39.996000,30.2,29.1,1000.4,False,50.9,96,1.3
105,0 days 01:45:39.983000,30.3,28.9,1000.4,False,50.5,105,2.4
106,0 days 01:46:39.999000,30.3,28.9,1000.4,False,50.5,105,2.4
107,0 days 01:47:39.985000,30.3,28.8,1000.4,False,50.5,90,1.7
108,0 days 01:48:39.997000,30.4,28.4,1000.4,False,50.4,86,2.4
109,0 days 01:49:40.002000,30.3,27.6,1000.5,False,49.2,87,2.3
110,0 days 01:50:39.993000,30.1,28.5,1000.4,False,49.2,82,2.2
111,0 days 01:51:39.989000,30.1,29.5,1000.5,False,49.5,161,2.4
112,0 days 01:52:39.999000,30.1,29.6,1000.5,False,50.3,176,1.9
113,0 days 01:53:39.987000,30.1,29.2,1000.5,False,50.6,75,1.6
114,0 days 01:54:39.990000,30.2,28.5,1000.5,False,50.7,99,1.1
115,0 days 01:55:39.991000,30.3,28.4,1000.3,False,50.5,0,0.0
116,0 days 01:56:40.004000,30.3,27.0,1000.3,False,48.4,120,3.7
117,0 days 01:57:39.992000,30.1,27.4,1000.4,False,49.4,85,2.7
