,13
RoundNumber,13
Country,Hungary
Location,Budapest
OfficialEventName,FORMULA 1 HUNGARIAN GRAND PRIX 2024
EventDate,2024-07-21 00:00:00
EventName,Hungarian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-07-19 13:30:00+02:00
Session1DateUtc,2024-07-19 11:30:00
Session2,Practice 2
Session2Date,2024-07-19 17:00:00+02:00
Session2DateUtc,2024-07-19 15:00:00
Session3,Practice 3
Session3Date,2024-07-20 12:30:00+02:00
Session3DateUtc,2024-07-20 10:30:00
Session4,Qualifying
Session4Date,2024-07-20 16:00:00+02:00
Session4DateUtc,2024-07-20 14:00:00
Session5,Race
Session5Date,2024-07-21 15:00:00+02:00
Session5DateUtc,2024-07-21 13:00:00
F1ApiSupport,True
