,8
RoundNumber,9
Country,Austria
Location,Spielberg
OfficialEventName,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018
EventDate,2018-07-01 00:00:00
EventName,Austrian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-06-29 11:00:00+02:00
Session1DateUtc,2018-06-29 09:00:00
Session2,Practice 2
Session2Date,2018-06-29 15:00:00+02:00
Session2DateUtc,2018-06-29 13:00:00
Session3,Practice 3
Session3Date,2018-06-30 12:00:00+02:00
Session3DateUtc,2018-06-30 10:00:00
Session4,Qualifying
Session4Date,2018-06-30 15:00:00+02:00
Session4DateUtc,2018-06-30 13:00:00
Session5,Race
Session5Date,2018-07-01 15:10:00+02:00
Session5DateUtc,2018-07-01 13:10:00
F1ApiSupport,True
