,6
RoundNumber,5
Country,Great Britain
Location,Silverstone
OfficialEventName,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020
EventDate,2020-08-09 00:00:00
EventName,70th Anniversary Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-08-07 11:00:00+01:00
Session1DateUtc,2020-08-07 10:00:00
Session2,Practice 2
Session2Date,2020-08-07 15:00:00+01:00
Session2DateUtc,2020-08-07 14:00:00
Session3,Practice 3
Session3Date,2020-08-08 11:00:00+01:00
Session3DateUtc,2020-08-08 10:00:00
Session4,Qualifying
Session4Date,2020-08-08 14:00:00+01:00
Session4DateUtc,2020-08-08 13:00:00
Session5,Race
Session5Date,2020-08-09 14:10:00+01:00
Session5DateUtc,2020-08-09 13:10:00
F1ApiSupport,True
