,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2022-10-30 19:04:19,Other,DRS DISABLED IN ZONE 1,,,,,,1
1,2022-10-30 19:04:19,Other,DRS DISABLED IN ZONE 2,,,,,,1
2,2022-10-30 19:06:24,Other,DRS ENABLED IN ZONE 2,,,,,,1
3,2022-10-30 19:07:22,Other,DRS ENABLED IN ZONE 1,,,,,,1
4,2022-10-30 19:07:32,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
5,2022-10-30 19:11:17,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,1
6,2022-10-30 19:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
7,2022-10-30 19:30:00,Other,PIT EXIT CLOSED,,,,,,1
8,2022-10-30 19:46:22,Other,RISK OF RAIN FOR F1 RACE IS 40%,,,,,,1
9,2022-10-30 19:59:04,Drs,DRS DISABLED,DISABLED,,,,,1
10,2022-10-30 20:03:07,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
11,2022-10-30 20:06:06,Drs,DRS ENABLED,ENABLED,,,,,3
12,2022-10-30 20:18:47,Other,CAR 16 (LEC) TIME 1:24.238 DELETED - TRACK LIMITS AT TURN 2 LAP 11 14:17:32,,,,,,12
13,2022-10-30 20:21:44,Other,TURN 4 INCIDENT INVOLVING CARS 10 (GAS) AND 18 (STR) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,14
14,2022-10-30 20:23:42,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 10 (GAS) AND 18 (STR) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,15
15,2022-10-30 20:26:39,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 10 (GAS) - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,17
16,2022-10-30 20:43:08,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 14:43:07,,BLUE,Driver,,6,29
