,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:29.522000,23.9,50.5,1017.6,False,45.9,43,0.8
1,0 days 00:01:29.515000,23.9,50.5,1017.6,False,45.6,325,0.7
2,0 days 00:02:29.530000,23.9,50.6,1017.5,False,46.2,319,0.4
3,0 days 00:03:29.519000,23.6,52.0,1017.6,False,46.5,153,1.1
4,0 days 00:04:29.526000,23.8,50.1,1017.6,False,46.3,218,1.8
5,0 days 00:05:29.530000,23.7,50.1,1017.6,False,46.5,148,0.9
6,0 days 00:06:29.531000,23.9,50.1,1017.6,False,46.3,312,0.5
7,0 days 00:07:29.519000,23.8,49.9,1017.7,False,46.5,345,0.6
8,0 days 00:08:29.528000,23.8,51.3,1017.6,False,46.8,344,0.5
9,0 days 00:09:29.529000,23.8,52.0,1017.7,False,46.3,0,0.0
10,0 days 00:10:29.543000,23.8,52.3,1017.6,False,47.4,0,0.0
11,0 days 00:11:29.529000,23.9,52.0,1017.6,False,47.2,157,0.4
12,0 days 00:12:29.521000,24.0,51.9,1017.6,False,46.9,236,0.8
13,0 days 00:13:29.530000,24.0,51.8,1017.6,False,46.0,272,0.7
14,0 days 00:14:29.530000,24.1,52.0,1017.6,False,47.2,0,0.0
15,0 days 00:15:29.535000,24.1,51.9,1017.6,False,47.3,206,1.1
16,0 days 00:16:29.528000,24.2,52.3,1017.6,False,47.0,139,0.4
17,0 days 00:17:29.532000,24.4,52.7,1017.6,False,46.6,223,1.0
18,0 days 00:18:29.537000,24.4,52.7,1017.6,False,46.9,166,0.7
19,0 days 00:19:29.533000,24.5,52.8,1017.6,False,46.6,145,0.5
20,0 days 00:20:29.535000,24.5,53.3,1017.6,False,45.6,186,1.1
21,0 days 00:21:29.533000,24.4,53.4,1017.6,False,44.4,195,2.2
22,0 days 00:22:29.538000,24.3,54.1,1017.6,False,43.6,148,0.8
23,0 days 00:23:29.534000,24.3,54.0,1017.5,False,42.7,187,1.1
24,0 days 00:24:29.539000,24.2,54.8,1017.5,False,41.9,155,0.7
25,0 days 00:25:29.540000,24.1,53.7,1017.5,False,41.6,0,0.0
26,0 days 00:26:29.540000,24.0,53.6,1017.5,False,40.8,151,0.3
27,0 days 00:27:29.548000,23.9,54.4,1017.5,False,40.4,162,0.8
28,0 days 00:28:29.550000,23.9,54.4,1017.5,False,40.0,146,0.7
29,0 days 00:29:29.552000,24.0,54.0,1017.5,False,39.8,146,0.6
30,0 days 00:30:29.561000,24.0,54.9,1017.4,False,39.7,182,2.5
31,0 days 00:31:29.576000,24.1,53.6,1017.5,False,38.8,178,1.3
32,0 days 00:32:29.589000,24.2,54.7,1017.4,False,38.3,0,0.0
33,0 days 00:33:29.593000,24.1,54.8,1017.5,False,37.9,166,0.6
34,0 days 00:34:29.631000,24.0,55.5,1017.4,False,38.4,188,0.7
35,0 days 00:35:29.620000,23.9,55.2,1017.5,False,38.3,184,0.6
36,0 days 00:36:29.641000,23.7,55.0,1017.5,False,38.4,142,0.8
37,0 days 00:37:29.655000,23.8,53.1,1017.5,False,37.0,231,0.6
38,0 days 00:38:29.675000,23.7,51.2,1017.4,False,36.8,227,0.9
39,0 days 00:39:29.675000,23.6,54.3,1017.4,False,38.1,147,0.7
40,0 days 00:40:29.675000,23.6,54.3,1017.4,False,37.2,208,1.2
41,0 days 00:41:29.676000,23.7,54.4,1017.4,False,37.1,187,0.4
42,0 days 00:42:29.677000,23.7,54.1,1017.4,False,37.0,161,0.4
43,0 days 00:43:29.676000,23.8,54.1,1017.4,False,36.9,192,0.4
44,0 days 00:44:29.672000,23.8,53.7,1017.3,False,36.5,159,0.9
45,0 days 00:45:29.677000,23.8,53.2,1017.4,False,36.4,155,0.5
46,0 days 00:46:29.684000,23.7,52.7,1017.4,False,36.1,185,0.3
47,0 days 00:47:29.678000,23.6,53.0,1017.4,False,35.5,177,0.6
48,0 days 00:48:29.693000,23.5,53.6,1017.3,False,34.3,235,1.8
49,0 days 00:49:29.681000,23.4,54.3,1017.4,False,35.6,201,1.2
50,0 days 00:50:29.692000,23.4,55.5,1017.4,False,34.8,202,2.8
51,0 days 00:51:29.681000,23.5,54.4,1017.4,False,34.4,194,1.8
52,0 days 00:52:29.676000,23.5,55.0,1017.3,False,34.5,193,1.8
53,0 days 00:53:29.682000,23.6,54.8,1017.4,False,34.4,199,1.5
54,0 days 00:54:29.682000,23.6,54.3,1017.3,False,33.5,216,1.3
55,0 days 00:55:29.687000,23.4,56.1,1017.3,False,33.7,201,1.9
56,0 days 00:56:29.698000,23.4,56.5,1017.4,False,33.8,163,1.2
57,0 days 00:57:29.683000,23.3,55.8,1017.4,False,34.0,208,1.8
58,0 days 00:58:29.688000,23.2,55.1,1017.5,False,33.5,213,1.3
59,0 days 00:59:29.687000,23.2,56.5,1017.4,False,34.2,142,0.7
60,0 days 01:00:29.684000,23.3,57.0,1017.5,False,34.0,165,0.9
61,0 days 01:01:29.684000,23.4,55.6,1017.4,False,34.2,185,1.2
62,0 days 01:02:29.685000,23.6,54.7,1017.5,False,33.0,209,2.9
63,0 days 01:03:29.687000,23.6,56.0,1017.5,False,32.7,210,2.2
64,0 days 01:04:29.687000,23.5,57.3,1017.4,False,33.5,0,0.0
65,0 days 01:05:29.690000,23.5,57.1,1017.5,False,32.5,277,0.7
66,0 days 01:06:29.688000,23.3,58.8,1017.4,False,33.5,172,0.9
67,0 days 01:07:29.716000,23.3,58.1,1017.5,False,33.0,0,0.0
68,0 days 01:08:29.704000,23.1,59.1,1017.5,False,33.6,0,0.0
69,0 days 01:09:29.690000,23.0,61.3,1017.5,False,33.3,0,0.0
70,0 days 01:10:29.698000,23.0,61.3,1017.5,False,33.3,0,0.0
71,0 days 01:11:29.709000,23.1,60.0,1017.5,False,33.0,204,0.6
72,0 days 01:12:29.691000,23.1,60.2,1017.6,False,33.1,215,2.1
73,0 days 01:13:29.693000,23.1,60.2,1017.6,False,33.1,215,2.1
74,0 days 01:14:29.697000,23.2,59.0,1017.5,False,33.2,191,0.9
75,0 days 01:15:29.698000,23.2,59.1,1017.5,False,33.0,195,0.4
76,0 days 01:16:29.695000,23.2,58.6,1017.6,False,32.5,317,0.6
77,0 days 01:17:29.692000,23.2,59.6,1017.5,False,33.1,0,0.0
