,Time,Status
0,0 days 00:00:04.460000,Inactive
1,0 days 00:14:24.200000,Started
2,0 days 00:21:02.531000,Aborted
3,0 days 00:27:22.975000,Inactive
4,0 days 00:28:24.203000,Started
5,0 days 00:39:46.198000,Finished
6,0 days 00:45:30.594000,Inactive
7,0 days 00:47:24.199000,Started
8,0 days 00:57:26.839000,Aborted
9,0 days 01:51:28.564000,Inactive
10,0 days 01:54:24.197000,Started
11,0 days 01:59:22.200000,Finished
12,0 days 02:05:27.187000,Inactive
13,0 days 02:07:24.205000,Started
14,0 days 02:19:24.218000,Finished
15,0 days 02:22:55.163000,Finalised
16,0 days 02:32:53.806000,Ends
