,7
RoundNumber,7
Country,Italy
Location,Imola
OfficialEventName,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025
EventDate,2025-05-18 00:00:00
EventName,Emilia Romagna Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-05-16 13:30:00+02:00
Session1DateUtc,2025-05-16 11:30:00
Session2,Practice 2
Session2Date,2025-05-16 17:00:00+02:00
Session2DateUtc,2025-05-16 15:00:00
Session3,Practice 3
Session3Date,2025-05-17 12:30:00+02:00
Session3DateUtc,2025-05-17 10:30:00
Session4,Qualifying
Session4Date,2025-05-17 16:00:00+02:00
Session4DateUtc,2025-05-17 14:00:00
Session5,Race
Session5Date,2025-05-18 15:00:00+02:00
Session5DateUtc,2025-05-18 13:00:00
F1ApiSupport,True
