,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2026-05-24 19:08:32,Other,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,1
1,2026-05-24 19:08:38,Other,AWNINGS MAY BE USED,,,,,,1
2,2026-05-24 19:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
3,2026-05-24 19:29:48,Other,AWNINGS TO BE REMOVED,,,,,,1
4,2026-05-24 19:30:01,Other,PIT EXIT CLOSED,,,,,,1
5,2026-05-24 19:32:11,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 5 (BOR), 77 (BOT) AND 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,1
6,2026-05-24 19:32:16,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 5 (BOR), 77 (BOT) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,1
7,2026-05-24 19:45:07,Other,RISK OF RAIN FOR THE F1 RACE IS 50%,,,,,,1
8,2026-05-24 19:57:04,Other,OVERTAKE DISABLED,,,,,,1
9,2026-05-24 20:03:19,Other,EXTRA FORMATION LAP,,,,,,1
10,2026-05-24 20:04:39,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,1
11,2026-05-24 20:05:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
12,2026-05-24 20:06:36,Other,EXTRA FORMATION LAP,,,,,,1
13,2026-05-24 20:06:37,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
14,2026-05-24 20:09:48,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
15,2026-05-24 20:11:04,Other,OVERTAKE ENABLED,,,,,,1
16,2026-05-24 20:12:54,Other,INCIDENT INVOLVING CARS 77 (BOT) AND 18 (STR) NOTED - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE,,,,,,3
17,2026-05-24 20:13:25,Other,INCIDENT INVOLVING CARS 30 (LAW) AND 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE,,,,,,3
18,2026-05-24 20:14:01,Other,CAR 23 (ALB) TIME 1:25.514 DELETED - TRACK LIMITS AT TURN 14 LAP 2 16:12:46,,,,,,4
19,2026-05-24 20:15:46,Other,CAR 1 (NOR) TIME 1:21.170 DELETED - TRACK LIMITS AT TURN 4 LAP 4 16:14:33,,,,,,5
20,2026-05-24 20:16:33,Other,CAR 6 (HAD) TIME 1:18.960 DELETED - TRACK LIMITS AT TURN 14 LAP 4 16:15:12,,,,,,6
21,2026-05-24 20:18:19,Other,CAR 10 (GAS) TIME 1:20.937 DELETED - TRACK LIMITS AT TURN 14 LAP 4 16:15:23,,,,,,7
22,2026-05-24 20:18:21,Other,CAR 27 (HUL) TIME 1:21.051 DELETED - TRACK LIMITS AT TURN 14 LAP 4 16:15:43,,,,,,7
23,2026-05-24 20:19:42,Other,CAR 12 (ANT) TIME 1:17.710 DELETED - TRACK LIMITS AT TURN 14 LAP 6 16:17:41,,,,,,8
24,2026-05-24 20:20:41,Other,INCIDENT INVOLVING CAR 27 (HUL) NOTED - SPEEDING IN THE PIT LANE,,,,,,9
25,2026-05-24 20:21:54,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 77 (BOT) AND 18 (STR) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE,,,,,,10
26,2026-05-24 20:22:16,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:22:15,,BLUE,Driver,,77,10
27,2026-05-24 20:22:33,Other,CAR 27 (HUL) TIME 1:21.876 DELETED - TRACK LIMITS AT TURN 10 LAP 6 16:18:05,,,,,,10
