,7
RoundNumber,7
Country,Italy
Location,Imola
OfficialEventName,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024
EventDate,2024-05-19 00:00:00
EventName,Emilia Romagna Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-05-17 13:30:00+02:00
Session1DateUtc,2024-05-17 11:30:00
Session2,Practice 2
Session2Date,2024-05-17 17:00:00+02:00
Session2DateUtc,2024-05-17 15:00:00
Session3,Practice 3
Session3Date,2024-05-18 12:30:00+02:00
Session3DateUtc,2024-05-18 10:30:00
Session4,Qualifying
Session4Date,2024-05-18 16:00:00+02:00
Session4DateUtc,2024-05-18 14:00:00
Session5,Race
Session5Date,2024-05-19 15:00:00+02:00
Session5DateUtc,2024-05-19 13:00:00
F1ApiSupport,True
