,21
RoundNumber,21
Country,Saudi Arabia
Location,Jeddah
OfficialEventName,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2021
EventDate,2021-12-05 00:00:00
EventName,Saudi Arabian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-12-03 16:30:00+03:00
Session1DateUtc,2021-12-03 13:30:00
Session2,Practice 2
Session2Date,2021-12-03 20:00:00+03:00
Session2DateUtc,2021-12-03 17:00:00
Session3,Practice 3
Session3Date,2021-12-04 17:00:00+03:00
Session3DateUtc,2021-12-04 14:00:00
Session4,Qualifying
Session4Date,2021-12-04 20:00:00+03:00
Session4DateUtc,2021-12-04 17:00:00
Session5,Race
Session5Date,2021-12-05 20:30:00+03:00
Session5DateUtc,2021-12-05 17:30:00
F1ApiSupport,True
