,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-05-22 12:50:05,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 30%,,,,,,
1,2021-05-22 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2,2021-05-22 13:08:08,CarEvent,CAR 7 (RAI) OFF TRACK AND CONTINUED AT TURN 1,,,,,7,
3,2021-05-22 13:14:37,CarEvent,CAR 55 (SAI) MISSED THE APEX OF TURN 16,,,,,55,
4,2021-05-22 13:14:49,Other,CAR 44 (HAM) TIME 1:25.284 DELETED - TRACK LIMITS AT TURN 10,,,,,,
5,2021-05-22 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
6,2021-05-22 13:18:12,Other,CAR 63 (RUS) TIME 1:17.078 DELETED - TRACK LIMITS AT TURN 10,,,,,,
7,2021-05-22 13:22:23,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
8,2021-05-22 13:22:24,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
9,2021-05-22 13:22:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
10,2021-05-22 13:22:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
11,2021-05-22 13:22:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
12,2021-05-22 13:22:37,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
13,2021-05-22 13:22:37,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
14,2021-05-22 13:22:37,Other,DRS DISABLED IN ZONE 1,,,,,,
15,2021-05-22 13:22:39,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
16,2021-05-22 13:22:40,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
17,2021-05-22 13:22:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
18,2021-05-22 13:22:40,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
19,2021-05-22 13:22:41,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
20,2021-05-22 13:22:43,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
21,2021-05-22 13:22:43,Other,DRS ENABLED IN ZONE 1,,,,,,
22,2021-05-22 13:22:47,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
23,2021-05-22 13:22:49,Other,DRS DISABLED IN ZONE 1,,,,,,
24,2021-05-22 13:22:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
25,2021-05-22 13:22:51,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
26,2021-05-22 13:22:51,Other,DRS ENABLED IN ZONE 1,,,,,,
27,2021-05-22 13:22:58,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
28,2021-05-22 13:23:28,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
29,2021-05-22 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
30,2021-05-22 13:28:14,Other,CAR 55 (SAI) TIME 1:21.978 DELETED - TRACK LIMITS AT TURN 10,,,,,,
31,2021-05-22 13:29:43,Other,CAR 7 (RAI) TIME 1:33.014 DELETED - TRACK LIMITS AT TURN 10,,,,,,
32,2021-05-22 13:31:03,Other,CAR 55 (SAI) TIME 1:39.777 DELETED - TRACK LIMITS AT TURN 10,,,,,,
33,2021-05-22 13:38:00,Other,CAR 44 (HAM) TIME 1:16.375 DELETED - TRACK LIMITS AT TURN 10,,,,,,
34,2021-05-22 13:38:46,Other,CAR 55 (SAI) TIME 1:27.087 DELETED - TRACK LIMITS AT TURN 10,,,,,,
35,2021-05-22 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
36,2021-05-22 13:42:40,Other,DRS DISABLED IN ZONE 1,,,,,,
37,2021-05-22 13:42:44,Other,DRS ENABLED IN ZONE 1,,,,,,
38,2021-05-22 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
39,2021-05-22 13:50:43,Other,CAR 5 (VET) TIME 1:22.200 DELETED - TRACK LIMITS AT TURN 10,,,,,,
40,2021-05-22 13:59:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
41,2021-05-22 13:59:43,Flag,RED FLAG,,RED,Track,,,
42,2021-05-22 13:59:43,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
43,2021-05-22 14:00:25,Other,SESSION WILL NOT BE RESTARTED,,,,,,
44,2021-05-22 14:03:27,Flag,TRACK CLEAR,,CLEAR,Track,,,
