,7
RoundNumber,7
Country,France
Location,Le Castellet
OfficialEventName,FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021
EventDate,2021-06-20 00:00:00
EventName,French Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-06-18 11:30:00+02:00
Session1DateUtc,2021-06-18 09:30:00
Session2,Practice 2
Session2Date,2021-06-18 15:00:00+02:00
Session2DateUtc,2021-06-18 13:00:00
Session3,Practice 3
Session3Date,2021-06-19 12:00:00+02:00
Session3DateUtc,2021-06-19 10:00:00
Session4,Qualifying
Session4Date,2021-06-19 15:00:00+02:00
Session4DateUtc,2021-06-19 13:00:00
Session5,Race
Session5Date,2021-06-20 15:00:00+02:00
Session5DateUtc,2021-06-20 13:00:00
F1ApiSupport,True
