,20
RoundNumber,20
Country,Mexico
Location,Mexico City
OfficialEventName,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024
EventDate,2024-10-27 00:00:00
EventName,Mexico City Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-10-25 12:30:00-06:00
Session1DateUtc,2024-10-25 18:30:00
Session2,Practice 2
Session2Date,2024-10-25 16:00:00-06:00
Session2DateUtc,2024-10-25 22:00:00
Session3,Practice 3
Session3Date,2024-10-26 11:30:00-06:00
Session3DateUtc,2024-10-26 17:30:00
Session4,Qualifying
Session4Date,2024-10-26 15:00:00-06:00
Session4DateUtc,2024-10-26 21:00:00
Session5,Race
Session5Date,2024-10-27 14:00:00-06:00
Session5DateUtc,2024-10-27 20:00:00
F1ApiSupport,True
