,16
RoundNumber,16
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024
EventDate,2024-09-01 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-08-30 13:30:00+02:00
Session1DateUtc,2024-08-30 11:30:00
Session2,Practice 2
Session2Date,2024-08-30 17:00:00+02:00
Session2DateUtc,2024-08-30 15:00:00
Session3,Practice 3
Session3Date,2024-08-31 12:30:00+02:00
Session3DateUtc,2024-08-31 10:30:00
Session4,Qualifying
Session4Date,2024-08-31 16:00:00+02:00
Session4DateUtc,2024-08-31 14:00:00
Session5,Race
Session5Date,2024-09-01 15:00:00+02:00
Session5DateUtc,2024-09-01 13:00:00
F1ApiSupport,True
