,13
RoundNumber,12
Country,Portugal
Location,Portimão
OfficialEventName,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020
EventDate,2020-10-25 00:00:00
EventName,Portuguese Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-10-23 11:00:00+00:00
Session1DateUtc,2020-10-23 11:00:00
Session2,Practice 2
Session2Date,2020-10-23 15:00:00+00:00
Session2DateUtc,2020-10-23 15:00:00
Session3,Practice 3
Session3Date,2020-10-24 11:00:00+00:00
Session3DateUtc,2020-10-24 11:00:00
Session4,Qualifying
Session4Date,2020-10-24 14:00:00+00:00
Session4DateUtc,2020-10-24 14:00:00
Session5,Race
Session5Date,2020-10-25 13:10:00+00:00
Session5DateUtc,2020-10-25 13:10:00
F1ApiSupport,True
