,17
RoundNumber,17
Country,Azerbaijan
Location,Baku
OfficialEventName,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024
EventDate,2024-09-15 00:00:00
EventName,Azerbaijan Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2024-09-13 13:30:00+04:00
Session1DateUtc,2024-09-13 09:30:00
Session2,Practice 2
Session2Date,2024-09-13 17:00:00+04:00
Session2DateUtc,2024-09-13 13:00:00
Session3,Practice 3
Session3Date,2024-09-14 12:30:00+04:00
Session3DateUtc,2024-09-14 08:30:00
Session4,Qualifying
Session4Date,2024-09-14 16:00:00+04:00
Session4DateUtc,2024-09-14 12:00:00
Session5,Race
Session5Date,2024-09-15 15:00:00+04:00
Session5DateUtc,2024-09-15 11:00:00
F1ApiSupport,True
