,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1245,,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
Name,Azerbaijan Grand Prix,,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
OfficialName,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
Location,Baku,,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
Country,"{'Key': 30, 'Code': 'AZE', 'Name': 'Azerbaijan'}",,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
Circuit,"{'Key': 144, 'ShortName': 'Baku'}",,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
Status,,Generating,9598,Race,Race,2024-09-15 15:00:00,2024-09-15 17:00:00,0 days 04:00:00,2024/2024-09-15_Azerbaijan_Grand_Prix/2024-09-15_Race/
