,16
RoundNumber,17
Country,Japan
Location,Suzuka
OfficialEventName,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX
EventDate,2018-10-07 00:00:00
EventName,Japanese Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-10-05 10:00:00+09:00
Session1DateUtc,2018-10-05 01:00:00
Session2,Practice 2
Session2Date,2018-10-05 14:00:00+09:00
Session2DateUtc,2018-10-05 05:00:00
Session3,Practice 3
Session3Date,2018-10-06 12:00:00+09:00
Session3DateUtc,2018-10-06 03:00:00
Session4,Qualifying
Session4Date,2018-10-06 15:00:00+09:00
Session4DateUtc,2018-10-06 06:00:00
Session5,Race
Session5Date,2018-10-07 14:10:00+09:00
Session5DateUtc,2018-10-07 05:10:00
F1ApiSupport,True
