,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2019-04-27 12:45:31,Other,AIR TEMPERATURE 15 MINS BEFORE Q1 = 17 DEGREES,,,,,,
1,2019-04-27 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2,2019-04-27 13:03:22,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
3,2019-04-27 13:03:35,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
4,2019-04-27 13:03:48,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 3,,,,,44,
5,2019-04-27 13:05:38,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
6,2019-04-27 13:05:51,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
7,2019-04-27 13:05:55,CarEvent,CAR 27 (HUL) OFF TRACK AND CONTINUED AT TURN 3,,,,,27,
8,2019-04-27 13:17:59,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
9,2019-04-27 13:18:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
10,2019-04-27 13:18:46,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
11,2019-04-27 13:18:56,Flag,RED FLAG,,RED,Track,,,
12,2019-04-27 13:18:56,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
13,2019-04-27 13:18:56,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
14,2019-04-27 13:27:49,Other,THE START OF QUALIFYING 2 WILL BE DELAYED,,,,,,
15,2019-04-27 13:30:02,Other,"REPAIRS TO BARRIERS IN PROGRESS, EXPECTED DELAY OF A MINIMUM 15 MINUTES",,,,,,
16,2019-04-27 13:41:58,Other,Q2 WILL START AT 17:50,,,,,,
17,2019-04-27 13:45:54,Flag,TRACK CLEAR,,CLEAR,Track,,,
18,2019-04-27 13:45:56,Drs,DRS ENABLED,ENABLED,,,,,
19,2019-04-27 13:46:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
20,2019-04-27 13:46:05,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
21,2019-04-27 13:46:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
22,2019-04-27 13:46:14,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
23,2019-04-27 13:50:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
24,2019-04-27 13:57:13,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
25,2019-04-27 13:57:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
26,2019-04-27 13:57:18,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
27,2019-04-27 13:57:25,Flag,RED FLAG,,RED,Track,,,
28,2019-04-27 13:57:25,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
29,2019-04-27 13:57:25,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
30,2019-04-27 14:06:59,Other,A 5 MINUTE WARNING TO THE RESUMPTION WILL BE GIVEN,,,,,,
31,2019-04-27 14:18:02,Other,SESSION WILL RE-START AT 18:24,,,,,,
32,2019-04-27 14:22:30,Other,AIR TEMPERATURE IS NOW 15 DEGREES,,,,,,
33,2019-04-27 14:22:59,Flag,TRACK CLEAR,,CLEAR,Track,,,
34,2019-04-27 14:23:01,Drs,DRS ENABLED,ENABLED,,,,,
35,2019-04-27 14:23:05,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,
36,2019-04-27 14:24:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
37,2019-04-27 14:27:28,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
38,2019-04-27 14:31:21,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
39,2019-04-27 14:31:24,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
40,2019-04-27 14:31:41,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
41,2019-04-27 14:34:55,Other,Q3 WILL START AT 18:40,,,,,,
42,2019-04-27 14:35:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
43,2019-04-27 14:36:08,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
44,2019-04-27 14:37:00,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
45,2019-04-27 14:37:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
46,2019-04-27 14:37:05,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
47,2019-04-27 14:37:06,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
48,2019-04-27 14:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
49,2019-04-27 14:52:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
