,6
RoundNumber,5
Country,United States
Location,Miami
OfficialEventName,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2022
EventDate,2022-05-08 00:00:00
EventName,Miami Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-05-06 14:30:00-04:00
Session1DateUtc,2022-05-06 18:30:00
Session2,Practice 2
Session2Date,2022-05-06 17:30:00-04:00
Session2DateUtc,2022-05-06 21:30:00
Session3,Practice 3
Session3Date,2022-05-07 13:00:00-04:00
Session3DateUtc,2022-05-07 17:00:00
Session4,Qualifying
Session4Date,2022-05-07 16:00:00-04:00
Session4DateUtc,2022-05-07 20:00:00
Session5,Race
Session5Date,2022-05-08 15:30:00-04:00
Session5DateUtc,2022-05-08 19:30:00
F1ApiSupport,True
