,2
RoundNumber,2
Country,Italy
Location,Imola
OfficialEventName,FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021
EventDate,2021-04-18 00:00:00
EventName,Emilia Romagna Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2021-04-16 11:00:00+02:00
Session1DateUtc,2021-04-16 09:00:00
Session2,Practice 2
Session2Date,2021-04-16 14:30:00+02:00
Session2DateUtc,2021-04-16 12:30:00
Session3,Practice 3
Session3Date,2021-04-17 11:00:00+02:00
Session3DateUtc,2021-04-17 09:00:00
Session4,Qualifying
Session4Date,2021-04-17 14:00:00+02:00
Session4DateUtc,2021-04-17 12:00:00
Session5,Race
Session5Date,2021-04-18 15:00:00+02:00
Session5DateUtc,2021-04-18 13:00:00
F1ApiSupport,True
