,Meeting,ArchiveStatus,Key,Type,Name,StartDate,EndDate,GmtOffset,Path
Key,1136,,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
Name,Mexico City Grand Prix,,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
OfficialName,FORMULA 1 HEINEKEN GRAN PREMIO DE LA CIUDAD DE MÉXICO 2022,,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
Location,Mexico City,,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
Country,"{'Key': 8, 'Code': 'MEX', 'Name': 'Mexico'}",,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
Circuit,"{'Key': 65, 'ShortName': 'Mexico City'}",,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
Status,,Generating,7256,Qualifying,Qualifying,2022-10-29 15:00:00,2022-10-29 16:00:00,-1 days +19:00:00,2022/2022-10-30_Mexico_City_Grand_Prix/2022-10-29_Qualifying/
