,2
RoundNumber,3
Country,China
Location,Shanghai
OfficialEventName,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX
EventDate,2018-04-15 00:00:00
EventName,Chinese Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2018-04-13 10:00:00+08:00
Session1DateUtc,2018-04-13 02:00:00
Session2,Practice 2
Session2Date,2018-04-13 14:00:00+08:00
Session2DateUtc,2018-04-13 06:00:00
Session3,Practice 3
Session3Date,2018-04-14 11:00:00+08:00
Session3DateUtc,2018-04-14 03:00:00
Session4,Qualifying
Session4Date,2018-04-14 14:00:00+08:00
Session4DateUtc,2018-04-14 06:00:00
Session5,Race
Session5Date,2018-04-15 14:10:00+08:00
Session5DateUtc,2018-04-15 06:10:00
F1ApiSupport,True
