,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps
5,5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,,,0 days 00:01:32.171000,0 days 00:01:32.385000,0 days 00:01:31.095000,,,,
7,7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,2.0,,,0 days 00:01:32.474000,0 days 00:01:32.286000,0 days 00:01:31.182000,,,,
77,77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,3.0,,,0 days 00:01:32.921000,0 days 00:01:32.063000,0 days 00:01:31.625000,,,,
44,44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,4.0,,,0 days 00:01:33.283000,0 days 00:01:31.914000,0 days 00:01:31.675000,,,,
33,33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,5.0,,,0 days 00:01:32.932000,0 days 00:01:32.809000,0 days 00:01:31.796000,,,,
3,3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,6.0,,,0 days 00:01:33.877000,0 days 00:01:32.688000,0 days 00:01:31.948000,,,,
27,27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,7.0,,,0 days 00:01:33.545000,0 days 00:01:32.494000,0 days 00:01:32.532000,,,,
11,11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,8.0,,,0 days 00:01:33.464000,0 days 00:01:32.931000,0 days 00:01:32.758000,,,,
55,55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,9.0,,,0 days 00:01:33.315000,0 days 00:01:32.970000,0 days 00:01:32.819000,,,,
8,8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,10.0,,,0 days 00:01:33.238000,0 days 00:01:32.524000,0 days 00:01:32.855000,,,,
20,20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,11.0,,,0 days 00:01:33.359000,0 days 00:01:32.986000,,,,,
31,31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,12.0,,,0 days 00:01:33.585000,0 days 00:01:33.057000,,,,,
14,14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,13.0,,,0 days 00:01:33.428000,0 days 00:01:33.232000,,,,,
2,2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,14.0,,,0 days 00:01:33.824000,0 days 00:01:33.505000,,,,,
28,28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,15.0,,,0 days 00:01:34.013000,0 days 00:01:33.795000,,,,,
35,35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,16.0,,,0 days 00:01:34.062000,,,,,,
10,10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,17.0,,,0 days 00:01:34.101000,,,,,,
18,18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,18.0,,,0 days 00:01:34.285000,,,,,,
16,16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,19.0,,,0 days 00:01:34.454000,,,,,,
9,9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,20.0,,,0 days 00:01:34.914000,,,,,,
