,9
RoundNumber,9
Country,Spain
Location,Barcelona
OfficialEventName,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025
EventDate,2025-06-01 00:00:00
EventName,Spanish Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-05-30 13:30:00+02:00
Session1DateUtc,2025-05-30 11:30:00
Session2,Practice 2
Session2Date,2025-05-30 17:00:00+02:00
Session2DateUtc,2025-05-30 15:00:00
Session3,Practice 3
Session3Date,2025-05-31 12:30:00+02:00
Session3DateUtc,2025-05-31 10:30:00
Session4,Qualifying
Session4Date,2025-05-31 16:00:00+02:00
Session4DateUtc,2025-05-31 14:00:00
Session5,Race
Session5Date,2025-06-01 15:00:00+02:00
Session5DateUtc,2025-06-01 13:00:00
F1ApiSupport,True
