,15
RoundNumber,14
Country,Belgium
Location,Spa-Francorchamps
OfficialEventName,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2022
EventDate,2022-08-28 00:00:00
EventName,Belgian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-08-26 14:00:00+02:00
Session1DateUtc,2022-08-26 12:00:00
Session2,Practice 2
Session2Date,2022-08-26 17:00:00+02:00
Session2DateUtc,2022-08-26 15:00:00
Session3,Practice 3
Session3Date,2022-08-27 13:00:00+02:00
Session3DateUtc,2022-08-27 11:00:00
Session4,Qualifying
Session4Date,2022-08-27 16:00:00+02:00
Session4DateUtc,2022-08-27 14:00:00
Session5,Race
Session5Date,2022-08-28 15:00:00+02:00
Session5DateUtc,2022-08-28 13:00:00
F1ApiSupport,True
