,4
RoundNumber,3
Country,Japan
Location,Suzuka
OfficialEventName,FORMULA 1 ARAMCO JAPANESE GRAND PRIX 2026
EventDate,2026-03-29 00:00:00
EventName,Japanese Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2026-03-27 11:30:00+09:00
Session1DateUtc,2026-03-27 02:30:00
Session2,Practice 2
Session2Date,2026-03-27 15:00:00+09:00
Session2DateUtc,2026-03-27 06:00:00
Session3,Practice 3
Session3Date,2026-03-28 11:30:00+09:00
Session3DateUtc,2026-03-28 02:30:00
Session4,Qualifying
Session4Date,2026-03-28 15:00:00+09:00
Session4DateUtc,2026-03-28 06:00:00
Session5,Race
Session5Date,2026-03-29 14:00:00+09:00
Session5DateUtc,2026-03-29 05:00:00
F1ApiSupport,True
