,17
RoundNumber,17
Country,Azerbaijan
Location,Baku
OfficialEventName,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025
EventDate,2025-09-21 00:00:00
EventName,Azerbaijan Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-09-19 12:30:00+04:00
Session1DateUtc,2025-09-19 08:30:00
Session2,Practice 2
Session2Date,2025-09-19 16:00:00+04:00
Session2DateUtc,2025-09-19 12:00:00
Session3,Practice 3
Session3Date,2025-09-20 12:30:00+04:00
Session3DateUtc,2025-09-20 08:30:00
Session4,Qualifying
Session4Date,2025-09-20 16:00:00+04:00
Session4DateUtc,2025-09-20 12:00:00
Session5,Race
Session5Date,2025-09-21 15:00:00+04:00
Session5DateUtc,2025-09-21 11:00:00
F1ApiSupport,True
