,16
RoundNumber,16
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025
EventDate,2025-09-07 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2025-09-05 13:30:00+02:00
Session1DateUtc,2025-09-05 11:30:00
Session2,Practice 2
Session2Date,2025-09-05 17:00:00+02:00
Session2DateUtc,2025-09-05 15:00:00
Session3,Practice 3
Session3Date,2025-09-06 12:30:00+02:00
Session3DateUtc,2025-09-06 10:30:00
Session4,Qualifying
Session4Date,2025-09-06 16:00:00+02:00
Session4DateUtc,2025-09-06 14:00:00
Session5,Race
Session5Date,2025-09-07 15:00:00+02:00
Session5DateUtc,2025-09-07 13:00:00
F1ApiSupport,True
