,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2020-11-14 11:45:19,Other,RISK OF RAIN FOR THIS SESSION IS 90%,,,,,,
1,2020-11-14 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2,2020-11-14 12:03:43,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
3,2020-11-14 12:03:50,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
4,2020-11-14 12:03:59,CarEvent,CAR 6 (LAT) SPUN AND CONTINUED AT TURN 8,,,,,6,
5,2020-11-14 12:06:19,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
6,2020-11-14 12:06:23,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
7,2020-11-14 12:06:43,Other,CAR 7 (RAI) TIME 2:08.165 DELETED - TRACK LIMITS AT TURN 1,,,,,,
8,2020-11-14 12:07:00,Other,CAR 77 (BOT) TIME 2:04.067 DELETED - TRACK LIMITS AT TURN 1,,,,,,
9,2020-11-14 12:07:11,Other,CAR 10 (GAS) TIME 2:11.834 DELETED - TRACK LIMITS AT TURN 1,,,,,,
10,2020-11-14 12:07:23,Other,CAR 3 (RIC) TIME 2:09.749 DELETED - TRACK LIMITS AT TURN 1,,,,,,
11,2020-11-14 12:07:48,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
12,2020-11-14 12:07:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
13,2020-11-14 12:07:54,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
14,2020-11-14 12:07:57,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
15,2020-11-14 12:08:00,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
16,2020-11-14 12:08:03,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
17,2020-11-14 12:09:27,Other,CAR 10 (GAS) TIME 2:17.008 DELETED - TRACK LIMITS AT TURN 1,,,,,,
18,2020-11-14 12:09:37,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,
19,2020-11-14 12:09:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
20,2020-11-14 12:09:43,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
21,2020-11-14 12:09:49,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
22,2020-11-14 12:09:51,CarEvent,CAR 26 (KVY) SPUN AND CONTINUED AT TURN 14,,,,,26,
23,2020-11-14 12:10:16,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
24,2020-11-14 12:10:27,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
25,2020-11-14 12:10:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
26,2020-11-14 12:10:51,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
27,2020-11-14 12:11:04,Flag,RED FLAG,,RED,Track,,,
28,2020-11-14 12:35:06,Other,TRACK SWEEPING TAKING PLACE IN TURNS 7 AND 12,,,,,,
29,2020-11-14 12:35:54,Other,A 5 MINUTE WARNING WILL BE GIVEN FOR THE RESUMPTION OF THE SESSION,,,,,,
30,2020-11-14 12:50:23,Other,SESSION WILL RE-START AT 15:55,,,,,,
31,2020-11-14 12:54:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
32,2020-11-14 12:54:14,Drs,DRS DISABLED,DISABLED,,,,,
33,2020-11-14 12:55:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
34,2020-11-14 12:55:26,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
35,2020-11-14 12:55:29,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
36,2020-11-14 12:57:36,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
37,2020-11-14 12:57:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
38,2020-11-14 12:57:48,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
39,2020-11-14 12:58:14,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
40,2020-11-14 12:58:26,Flag,RED FLAG,,RED,Track,,,
41,2020-11-14 12:58:27,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
42,2020-11-14 12:59:10,CarEvent,CAR 8 (GRO) STOPPED AT TURN 1,,,,,8,
43,2020-11-14 13:01:09,Other,SESSION WILL RE-START AT 16:03,,,,,,
44,2020-11-14 13:02:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
45,2020-11-14 13:02:03,Drs,DRS DISABLED,DISABLED,,,,,
46,2020-11-14 13:03:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
47,2020-11-14 13:05:41,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
48,2020-11-14 13:05:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
49,2020-11-14 13:05:58,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
50,2020-11-14 13:06:09,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
51,2020-11-14 13:06:12,CarEvent,CAR 26 (KVY) SPUN AND CONTINUED AT TURN 3,,,,,26,
52,2020-11-14 13:06:30,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
53,2020-11-14 13:06:58,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
54,2020-11-14 13:07:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
55,2020-11-14 13:08:14,CarEvent,CAR 6 (LAT) STOPPED AT TURN 8,,,,,6,
56,2020-11-14 13:08:31,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
57,2020-11-14 13:08:40,Other,CAR 44 (HAM) TIME 2:10.015 DELETED - TRACK LIMITS AT TURN 1,,,,,,
58,2020-11-14 13:10:39,Other,Q2 WILL START AT 16:14,,,,,,
59,2020-11-14 13:11:07,Other,ALL LAP TIMES SET UNDER YELLOW FLAGS WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
60,2020-11-14 13:13:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
61,2020-11-14 13:14:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
62,2020-11-14 13:14:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
63,2020-11-14 13:14:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
64,2020-11-14 13:14:43,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
65,2020-11-14 13:15:34,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
66,2020-11-14 13:15:43,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
67,2020-11-14 13:18:13,Other,CAR 4 (NOR) TIME 2:00.633 DELETED - TRACK LIMITS AT TURN 6,,,,,,
68,2020-11-14 13:21:30,Other,CAR 11 (PER) TIME 1:56.950 DELETED - TRACK LIMITS AT TURN 1,,,,,,
69,2020-11-14 13:24:50,Other,CAR 5 (VET) TIME 2:03.853 DELETED - TRACK LIMITS AT TURN 1,,,,,,
70,2020-11-14 13:26:25,Other,CAR 99 (GIO) TIME 1:58.649 DELETED - TRACK LIMITS AT TURN 1,,,,,,
71,2020-11-14 13:27:48,Other,ALLEGED IMPEDING INCIDENT INVOLVING CARS 55 (SAI) AND 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
72,2020-11-14 13:28:55,Other,CAR 16 (LEC) TIME 2:03.493 DELETED - TRACK LIMITS AT TURN 1,,,,,,
73,2020-11-14 13:29:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
74,2020-11-14 13:32:52,Other,Q3 WILL START AT 16:37,,,,,,
75,2020-11-14 13:37:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
76,2020-11-14 13:42:35,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
77,2020-11-14 13:42:37,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
78,2020-11-14 13:46:34,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
79,2020-11-14 13:46:37,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
80,2020-11-14 13:46:41,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
81,2020-11-14 13:46:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
82,2020-11-14 13:46:52,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
83,2020-11-14 13:46:52,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
84,2020-11-14 13:46:53,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
85,2020-11-14 13:48:30,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
86,2020-11-14 13:48:47,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
87,2020-11-14 13:49:00,Other,CAR 23 (ALB) TIME 1:52.576 DELETED - TRACK LIMITS AT TURN 1,,,,,,
88,2020-11-14 13:49:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
89,2020-11-14 13:49:08,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
90,2020-11-14 13:49:19,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
