,Time,Status
0,0 days 00:00:04.865000,Inactive
1,0 days 00:15:00.100000,Started
2,0 days 00:26:04.169000,Aborted
3,0 days 01:07:02.703000,Inactive
4,0 days 01:10:00.139000,Started
5,0 days 01:13:26.421000,Aborted
6,0 days 01:16:17.328000,Inactive
7,0 days 01:18:00.137000,Started
8,0 days 01:21:30.129000,Finished
9,0 days 01:27:05.880000,Inactive
10,0 days 01:29:00.133000,Started
11,0 days 01:44:00.118000,Finished
12,0 days 01:50:20.404000,Inactive
13,0 days 01:52:00.110000,Started
14,0 days 02:04:00.128000,Finished
15,0 days 02:08:36.123000,Finalised
16,0 days 02:08:36.123000,Ends
