,15
RoundNumber,14
Country,Turkey
Location,Istanbul
OfficialEventName,FORMULA 1 DHL TURKISH GRAND PRIX 2020
EventDate,2020-11-15 00:00:00
EventName,Turkish Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2020-11-13 11:00:00+03:00
Session1DateUtc,2020-11-13 08:00:00
Session2,Practice 2
Session2Date,2020-11-13 15:00:00+03:00
Session2DateUtc,2020-11-13 12:00:00
Session3,Practice 3
Session3Date,2020-11-14 12:00:00+03:00
Session3DateUtc,2020-11-14 09:00:00
Session4,Qualifying
Session4Date,2020-11-14 15:00:00+03:00
Session4DateUtc,2020-11-14 12:00:00
Session5,Race
Session5Date,2020-11-15 13:10:00+03:00
Session5DateUtc,2020-11-15 10:10:00
F1ApiSupport,True
