,Time,Status
0,0 days 00:00:05.841000,Inactive
1,0 days 00:15:42.406000,Started
2,0 days 00:17:51.489000,Aborted
3,0 days 00:24:47.783000,Inactive
4,0 days 00:25:42.724000,Started
5,0 days 00:29:51.595000,Aborted
6,0 days 00:35:27.186000,Inactive
7,0 days 00:36:42.451000,Started
8,0 days 00:48:24.386000,Finished
9,0 days 00:53:54.889000,Inactive
10,0 days 00:55:42.429000,Started
11,0 days 01:10:42.780000,Finished
12,0 days 01:16:57.301000,Inactive
13,0 days 01:18:42.860000,Started
14,0 days 01:30:42.450000,Finished
15,0 days 01:34:28.778000,Finalised
16,0 days 01:34:29.869000,Ends
