,Time,Status
0,0 days 00:00:07.034000,Inactive
1,0 days 00:56:54.480000,Started
2,0 days 02:28:56.278000,Finished
3,0 days 02:32:38.888000,Finalised
4,0 days 02:32:38.888000,Ends
